ts,arena-loadtest-api-1_cpu,arena-loadtest-api-1_mem_mib,arena-loadtest-worker-1_cpu,arena-loadtest-worker-1_mem_mib,arena-loadtest-db-1_cpu,arena-loadtest-db-1_mem_mib,arena-loadtest-stripe_stub-1_cpu,arena-loadtest-stripe_stub-1_mem_mib,arena-loadtest-traefik-1_cpu,arena-loadtest-traefik-1_mem_mib,conns,active,waiting_on_lock,longest_tx_s,deadlocks_total,outbox_backlog,jobs_pending,delivery_pending,dead_letters,expired_unreleased,db_mb
2026-09-22T18:42:43.320Z,0.00,45.4,0.09,12.4,0.22,306.6,0.00,11.1,0.00,34.4,24,1,0,0,0,0,4,0,0,0,62
2026-09-22T18:43:00.483Z,2.96,54.4,0.33,11.5,19.91,310.2,5.22,11.2,0.16,35.6,24,1,0,0,0,0,4,0,0,0,64
2026-09-22T18:43:15.485Z,4.10,53.8,0.22,11.5,22.31,310.1,5.25,11.2,0.18,36.1,24,1,0,0,0,0,4,0,0,0,64
2026-09-22T18:43:30.486Z,3.04,45.8,0.28,11.5,13.47,310.4,5.81,11.3,0.34,37.0,24,1,0,0,0,0,4,0,0,0,64
2026-09-22T18:43:45.490Z,9.76,48.5,0.17,11.5,4.86,310.5,2.78,11.3,0.13,37.8,24,1,0,0,0,0,4,0,0,0,64
2026-09-22T18:44:00.495Z,4.51,41.6,0.29,11.5,11.84,310.4,0.00,11.3,0.00,38.0,24,1,0,0,0,0,4,0,0,0,64
2026-09-22T18:44:15.495Z,0.05,51.3,0.22,11.5,0.16,310.5,0.00,11.4,0.41,38.2,24,1,0,0,0,0,4,0,0,0,64
2026-09-22T18:44:30.500Z,3.46,46.8,0.30,11.5,10.02,310.9,0.00,10.6,0.39,38.3,24,1,0,0,0,0,4,0,0,0,64
2026-09-22T18:44:45.503Z,11.57,51.6,0.17,11.5,13.78,310.6,0.00,10.6,0.00,38.3,24,1,0,0,0,0,4,0,0,0,64
2026-09-22T18:45:00.505Z,0.06,47.4,0.35,11.4,1.30,310.6,0.00,10.7,0.30,38.3,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:45:15.508Z,1.86,54.2,0.19,11.4,10.48,310.7,0.00,10.7,0.18,38.4,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:45:30.512Z,1.75,41.1,0.35,11.4,8.49,310.6,0.00,10.8,0.64,38.9,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:45:45.513Z,9.00,46.9,0.21,11.4,12.84,310.7,0.00,10.8,0.19,39.5,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:46:00.515Z,0.00,52.1,0.37,11.4,1.54,310.7,0.00,10.8,0.00,34.6,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:46:15.516Z,0.09,52.1,0.21,11.4,0.25,310.8,0.00,10.9,0.00,34.6,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:46:30.518Z,0.15,52.1,0.30,11.4,0.35,310.8,0.00,10.9,0.00,34.6,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:46:45.520Z,19.60,55.3,0.17,11.4,16.84,310.7,0.00,11.0,4.27,34.9,24,2,0,0,0,2,5,0,0,0,65
2026-09-22T18:47:00.525Z,18.63,43.7,0.92,11.2,27.82,310.9,0.00,11.0,0.23,34.9,24,2,0,0,0,0,4,0,0,0,65
2026-09-22T18:47:15.528Z,2.84,45.1,0.55,11.2,13.02,311.0,0.00,11.1,2.79,35.0,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:47:30.530Z,18.43,52.2,0.20,11.2,7.31,311.1,0.00,11.1,0.24,35.4,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:47:45.532Z,24.14,41.4,0.30,11.2,32.33,311.4,0.00,11.2,0.22,35.8,24,1,0,0,0,4,5,0,0,0,65
2026-09-22T18:48:00.534Z,9.96,46.5,0.15,11.2,18.44,311.4,4.39,11.2,0.69,36.0,24,1,0,0,0,4,4,0,0,0,65
2026-09-22T18:48:15.536Z,1.57,46.9,1.12,11.2,13.88,311.4,5.51,11.3,0.42,36.0,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:48:30.540Z,5.34,38.4,0.68,11.2,16.03,311.3,0.01,11.3,0.47,36.0,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:48:45.545Z,22.57,48.0,0.68,11.4,29.94,311.4,0.03,11.3,0.45,36.0,24,1,0,0,0,4,5,0,0,0,65
2026-09-22T18:49:00.549Z,17.72,43.4,0.58,11.5,25.36,315.2,0.01,11.4,1.18,36.0,24,2,0,0,0,3,5,0,0,0,65
2026-09-22T18:49:15.551Z,1.00,46.0,0.97,11.5,5.79,311.4,2.64,11.4,0.84,36.0,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:49:30.553Z,2.97,52.3,0.26,11.6,14.98,311.7,4.56,11.5,1.13,36.5,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:49:45.556Z,0.67,47.2,0.13,11.6,0.93,311.8,5.59,10.7,0.18,36.5,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:50:00.558Z,0.03,47.2,0.24,11.7,1.35,312.7,0.00,10.7,0.07,36.5,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:50:15.560Z,0.08,47.2,0.25,11.7,0.23,312.7,5.13,10.8,0.00,36.5,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:50:30.564Z,0.15,47.2,0.21,11.7,0.16,312.7,0.00,10.8,0.00,36.5,24,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:50:45.566Z,18.76,45.6,0.16,11.8,29.77,312.9,0.00,10.8,2.82,36.6,24,1,0,0,0,0,5,0,0,0,65
2026-09-22T18:51:00.570Z,14.51,46.0,0.05,11.9,20.89,304.7,0.00,10.9,2.61,36.6,23,1,0,0,0,3,4,0,0,0,65
2026-09-22T18:51:15.574Z,14.50,40.4,0.35,12.0,13.20,304.9,0.00,11.0,2.75,36.6,23,1,0,0,0,7,5,0,0,0,65
2026-09-22T18:51:30.576Z,13.97,47.0,1.25,12.0,14.71,305.0,0.00,11.0,1.07,36.6,23,1,0,0,0,0,4,0,0,0,65
2026-09-22T18:51:45.578Z,21.28,51.9,0.33,12.0,28.78,305.4,0.00,11.1,0.67,36.6,23,1,0,0,0,5,5,0,0,0,66
2026-09-22T18:52:00.581Z,17.69,46.5,1.14,12.1,23.08,305.4,0.00,11.1,0.35,36.6,23,1,0,0,0,0,4,0,0,0,66
2026-09-22T18:52:15.584Z,15.68,44.0,0.38,12.3,17.05,305.4,0.00,11.1,0.59,37.0,23,1,0,0,0,2,5,0,0,0,66
2026-09-22T18:52:30.586Z,18.95,46.3,0.35,12.4,20.99,305.6,0.00,11.2,3.05,38.7,23,1,0,0,0,0,4,0,0,0,66
2026-09-22T18:52:45.590Z,20.70,50.0,0.75,12.5,20.86,305.6,0.00,11.2,0.57,39.3,23,1,0,0,0,4,5,0,0,0,66
2026-09-22T18:53:00.594Z,13.95,47.0,1.27,12.7,18.04,305.8,0.00,11.3,0.77,39.3,23,1,0,0,0,4,4,0,0,0,66
2026-09-22T18:53:15.598Z,18.67,47.2,0.79,12.9,16.85,305.9,0.00,11.3,0.83,39.3,23,1,0,0,0,3,4,0,0,0,66
2026-09-22T18:53:30.601Z,14.60,45.2,0.90,12.6,14.13,305.8,0.00,11.3,0.80,39.3,23,1,0,0,0,3,5,0,0,0,66
2026-09-22T18:53:45.603Z,0.72,53.2,0.10,12.6,2.19,305.8,0.00,11.3,0.04,39.3,23,1,0,0,0,0,4,0,0,0,66
2026-09-22T18:54:00.607Z,0.04,53.2,0.18,12.6,5.01,305.9,0.01,11.4,0.03,39.2,23,1,0,0,0,0,4,0,0,0,66
2026-09-22T18:54:15.608Z,0.10,53.2,0.09,12.6,6.60,305.9,0.00,11.4,0.00,39.2,23,1,0,0,0,0,4,0,0,1,66
2026-09-22T18:54:30.610Z,0.73,53.2,0.26,12.6,9.97,306.6,5.15,11.5,11.57,31.4,23,2,0,0,0,0,4,0,0,0,66
2026-09-22T18:54:45.615Z,17.60,46.3,0.48,12.6,29.02,307.2,2.72,11.5,5.46,31.5,23,2,0,0,0,4,4,0,0,0,66
2026-09-22T18:55:00.628Z,16.90,51.8,1.02,12.6,25.32,312.2,0.01,11.6,4.75,33.5,23,2,0,0,0,0,5,0,0,0,67
2026-09-22T18:55:15.630Z,28.00,47.8,1.00,12.6,20.72,307.6,0.01,11.6,6.00,35.2,23,2,0,0,0,2,4,0,0,0,67
2026-09-22T18:55:30.633Z,25.77,53.1,0.18,12.6,32.64,307.8,0.01,10.8,4.78,38.2,23,2,0,0,0,5,5,0,0,0,67
2026-09-22T18:55:45.636Z,26.36,48.1,0.58,12.7,27.47,308.0,0.00,10.8,1.08,38.2,23,1,0,0,0,8,6,0,0,0,67
2026-09-22T18:56:00.640Z,36.59,46.0,0.70,12.7,18.09,308.2,4.87,10.9,1.62,38.2,23,2,0,0,0,4,6,0,0,0,67
2026-09-22T18:56:15.642Z,20.19,48.5,0.52,12.7,38.89,308.3,2.40,10.9,0.89,39.9,23,1,0,0,0,9,5,0,0,0,67
2026-09-22T18:56:30.644Z,26.84,53.0,1.39,12.7,21.09,311.1,0.00,11.0,1.09,41.8,23,1,0,0,0,0,4,0,0,0,68
2026-09-22T18:56:45.646Z,22.97,47.2,1.18,12.5,25.04,310.2,5.32,11.0,1.13,41.9,23,1,0,0,0,8,5,0,0,0,68
2026-09-22T18:57:00.648Z,23.98,44.4,0.42,12.5,26.36,310.2,3.48,11.1,1.36,41.9,23,1,0,0,0,9,6,0,0,0,68
2026-09-22T18:57:15.652Z,34.46,45.6,1.53,12.5,23.69,309.8,0.00,11.1,0.97,41.9,23,1,0,0,0,0,5,0,0,0,69
2026-09-22T18:57:30.654Z,22.13,46.4,0.47,12.5,19.81,311.3,0.00,11.1,0.77,41.9,23,1,0,0,0,2,4,0,0,0,69
2026-09-22T18:57:45.656Z,0.12,46.1,0.12,12.5,0.25,309.8,0.00,11.2,0.00,41.8,23,1,0,0,0,0,4,0,0,0,69
2026-09-22T18:58:00.658Z,0.11,46.1,0.23,12.5,0.77,310.1,0.00,11.2,0.00,41.8,23,1,0,0,0,0,4,0,0,0,69
2026-09-22T18:58:15.663Z,0.19,46.1,0.11,12.5,0.10,310.1,0.00,11.3,0.00,41.8,23,1,0,0,0,0,4,0,0,0,69
2026-09-22T18:58:30.665Z,47.71,41.0,1.55,12.5,39.79,310.3,0.00,11.3,8.26,35.2,23,1,0,0,0,8,5,0,0,0,69
2026-09-22T18:58:45.667Z,41.10,44.8,0.86,12.5,40.56,310.7,0.00,11.3,7.15,35.3,23,1,0,0,0,14,7,0,0,0,69
2026-09-22T18:59:00.671Z,39.21,47.2,0.54,12.5,47.88,311.4,0.00,11.4,7.73,39.4,23,2,0,0,0,2,6,0,0,0,70
2026-09-22T18:59:15.673Z,39.21,50.2,0.36,12.5,41.86,311.8,0.00,11.4,7.33,42.3,23,2,0,0,0,7,5,0,0,0,70
2026-09-22T18:59:30.675Z,43.88,45.8,1.19,12.5,40.28,312.9,0.00,11.5,1.94,42.7,23,2,0,0,0,17,4,0,0,0,71
2026-09-22T18:59:45.676Z,52.07,45.6,0.53,12.5,43.89,313.1,0.00,11.5,3.83,45.9,23,2,0,0,0,4,6,0,0,0,71
2026-09-22T19:00:00.678Z,38.97,46.7,2.31,12.5,32.20,313.5,0.00,10.9,1.78,46.5,23,2,0,0,0,6,5,0,0,0,72
2026-09-22T19:00:15.680Z,48.44,53.2,0.55,12.5,44.55,313.9,0.00,10.9,2.05,46.5,23,2,0,0,0,13,5,0,0,0,72
