ts,arena-loadtest-api-1_cpu,arena-loadtest-api-1_mem_mib,arena-loadtest-worker-1_cpu,arena-loadtest-worker-1_mem_mib,arena-loadtest-db-1_cpu,arena-loadtest-db-1_mem_mib,arena-loadtest-stripe_stub-1_cpu,arena-loadtest-stripe_stub-1_mem_mib,arena-loadtest-traefik-1_cpu,arena-loadtest-traefik-1_mem_mib,conns,active,waiting_on_lock,longest_tx_s,deadlocks_total,outbox_backlog,jobs_pending,delivery_pending,dead_letters,expired_unreleased,db_mb
2026-09-22T18:27:14.298Z,13.59,32.2,0.11,11.4,48.38,221.7,0.00,10.8,1.34,138.3,23,2,0,0,0,0,4,0,0,0,58
2026-09-22T18:27:31.464Z,6.77,34.2,0.08,11.4,39.16,230.9,0.00,10.2,1.37,140.1,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:27:46.466Z,8.84,39.5,0.19,11.4,54.82,234.9,0.00,10.2,1.70,57.4,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:28:01.471Z,19.16,47.2,0.08,11.4,28.06,236.2,0.00,10.3,1.94,57.3,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:28:16.475Z,7.83,35.0,0.22,11.1,47.80,238.6,0.00,10.3,0.94,57.4,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:28:31.480Z,10.37,42.0,0.10,11.1,57.38,243.1,0.00,10.3,1.08,57.5,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:28:46.482Z,16.43,46.1,0.22,11.1,44.42,245.8,0.00,10.4,1.61,57.6,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:29:01.484Z,14.24,35.1,3.44,11.1,49.34,249.8,0.00,10.4,1.71,42.5,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:29:16.485Z,4.46,39.5,0.23,11.1,31.78,249.9,0.00,10.5,1.77,42.5,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:29:31.488Z,6.21,34.9,0.12,11.1,36.21,251.7,0.00,10.5,1.13,42.2,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:29:46.491Z,6.18,46.3,0.13,11.1,45.87,252.1,0.02,10.6,1.26,42.2,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:30:01.493Z,0.00,42.0,0.13,11.1,5.31,252.7,0.00,10.6,0.23,42.2,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:30:16.494Z,0.00,42.0,0.24,11.1,4.55,252.7,0.00,10.7,0.06,42.1,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:30:31.496Z,0.00,42.0,3.76,11.1,3.22,252.7,0.02,10.7,0.04,42.1,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:30:46.501Z,0.00,42.0,0.27,11.1,6.17,252.7,0.01,10.8,0.05,42.1,23,1,0,0,0,0,4,0,0,0,58
2026-09-22T18:31:01.504Z,28.46,41.1,0.07,11.1,96.95,257.7,0.01,10.8,5.10,59.1,23,3,0,0,0,2,5,0,0,0,58
2026-09-22T18:31:16.506Z,13.73,45.7,0.62,11.1,71.88,264.0,2.55,10.8,4.59,60.0,23,1,0,0,0,0,4,0,0,0,59
2026-09-22T18:31:31.508Z,20.79,43.7,0.04,11.1,77.12,267.5,2.39,10.9,2.53,65.8,23,1,0,0,0,0,4,0,0,0,59
2026-09-22T18:31:46.509Z,22.11,50.8,0.07,11.1,75.85,270.6,2.43,10.9,2.38,72.0,23,5,0,0,0,0,5,0,0,0,59
