ts,arena-loadtest-api-1_cpu,arena-loadtest-api-1_mem_mib,arena-loadtest-worker-1_cpu,arena-loadtest-worker-1_mem_mib,arena-loadtest-db-1_cpu,arena-loadtest-db-1_mem_mib,arena-loadtest-stripe_stub-1_cpu,arena-loadtest-stripe_stub-1_mem_mib,arena-loadtest-traefik-1_cpu,arena-loadtest-traefik-1_mem_mib,conns,active,waiting_on_lock,longest_tx_s,deadlocks_total,outbox_backlog,jobs_pending,delivery_pending,dead_letters,expired_unreleased,db_mb
2026-09-22T19:06:02.669Z,0.00,50.0,0.23,12.6,0.31,327.8,0.02,11.2,0.07,63.2,23,1,0,0,0,0,4,0,0,0,85
2026-09-22T19:06:19.866Z,9.83,40.6,0.12,12.6,26.05,333.3,0.49,11.8,14.14,63.4,24,2,0,0,0,0,4,0,0,0,87
2026-09-22T19:06:34.870Z,9.15,40.7,0.17,12.6,21.59,335.3,1.25,12.8,12.89,56.1,23,1,0,0,0,0,4,0,0,0,87
2026-09-22T19:06:49.874Z,9.23,41.8,0.30,12.6,24.42,336.0,0.73,11.3,14.94,54.4,23,1,0,0,0,0,4,0,0,0,87
2026-09-22T19:07:04.874Z,11.76,42.0,0.36,12.6,21.81,337.6,0.91,12.2,15.11,54.5,23,1,0,0,0,0,4,0,0,0,88
2026-09-22T19:07:19.874Z,1.89,42.6,0.27,12.6,30.70,339.9,0.73,12.0,2.62,54.8,24,2,0,0,0,0,4,0,0,0,88
2026-09-22T19:07:34.875Z,9.58,41.3,0.24,11.9,17.37,342.4,0.50,12.0,1.99,55.4,23,1,0,0,0,0,4,0,0,0,89
2026-09-22T19:07:49.877Z,8.16,40.6,0.27,11.9,16.77,343.2,0.46,11.8,2.09,55.4,23,1,0,0,0,0,4,0,0,0,89
2026-09-22T19:08:04.880Z,8.02,41.0,0.29,11.9,9.53,344.3,0.40,11.7,1.55,55.4,23,1,0,0,0,0,4,0,0,0,90
2026-09-22T19:08:19.881Z,9.65,40.3,0.28,11.9,17.21,344.8,5.31,11.7,2.73,55.4,24,2,0,0,0,0,4,0,0,0,90
2026-09-22T19:08:34.883Z,9.73,40.3,0.12,11.9,16.75,345.3,0.69,11.8,2.55,57.1,23,1,0,0,0,0,4,0,0,0,90
2026-09-22T19:08:49.885Z,8.41,40.4,0.28,11.9,16.45,345.7,0.55,11.8,2.02,60.1,23,1,0,0,0,0,4,0,0,0,91
2026-09-22T19:09:04.890Z,8.97,40.4,0.37,11.9,16.60,346.5,4.96,12.6,2.40,60.2,23,1,0,0,0,0,4,0,0,0,91
2026-09-22T19:09:19.890Z,0.14,40.4,0.26,11.9,0.30,347.2,0.00,12.0,0.08,59.6,24,2,0,0,0,0,4,0,0,0,91
2026-09-22T19:09:34.892Z,0.06,40.4,0.24,11.2,0.21,347.2,2.66,12.1,0.04,59.6,23,1,0,0,0,0,4,0,0,0,91
2026-09-22T19:09:49.892Z,0.05,40.4,0.22,11.2,0.30,347.2,5.30,12.1,0.00,59.6,23,1,0,0,0,0,4,0,0,0,91
2026-09-22T19:10:04.896Z,0.06,40.4,0.34,11.2,0.34,347.2,5.18,12.1,0.00,59.6,23,1,0,0,0,0,4,0,0,0,91
2026-09-22T19:10:19.898Z,0.07,40.4,0.23,11.2,0.24,347.1,0.00,12.2,0.00,59.6,23,1,0,0,0,0,4,0,0,0,91
2026-09-22T19:10:34.903Z,0.05,40.4,0.35,11.2,0.22,347.1,0.00,12.2,0.08,59.6,23,1,0,0,0,0,4,0,0,0,91
2026-09-22T19:10:49.906Z,0.18,40.4,0.21,11.2,0.44,347.1,0.00,12.3,1.94,41.6,23,1,0,0,0,0,4,0,0,0,91
2026-09-22T19:11:04.908Z,0.16,40.4,0.32,11.2,0.37,347.2,0.00,12.3,0.05,28.3,23,1,0,0,0,0,4,0,0,0,91
2026-09-22T19:11:19.909Z,0.10,40.4,0.29,11.2,0.40,347.2,0.00,12.3,0.05,28.3,23,1,0,0,0,0,4,0,0,0,91
2026-09-22T19:11:34.913Z,0.04,40.4,0.11,11.2,0.31,347.2,0.00,12.4,0.00,28.3,23,1,0,0,0,0,4,0,0,0,91
2026-09-22T19:11:49.917Z,0.05,40.4,0.30,11.2,4.97,347.2,0.00,12.4,0.00,28.3,23,1,0,0,0,0,4,0,0,0,91
2026-09-22T19:12:04.919Z,0.16,40.4,0.25,11.2,6.54,347.3,0.00,12.5,0.00,28.3,23,1,0,0,0,0,4,0,0,0,91
