ts,arena-loadtest-api-1_cpu,arena-loadtest-api-1_mem_mib,arena-loadtest-worker-1_cpu,arena-loadtest-worker-1_mem_mib,arena-loadtest-db-1_cpu,arena-loadtest-db-1_mem_mib,arena-loadtest-stripe_stub-1_cpu,arena-loadtest-stripe_stub-1_mem_mib,arena-loadtest-traefik-1_cpu,arena-loadtest-traefik-1_mem_mib,conns,active,waiting_on_lock,longest_tx_s,deadlocks_total,outbox_backlog,jobs_pending,delivery_pending,dead_letters,expired_unreleased,db_mb
2026-09-22T18:01:20.321Z,0.11,31.2,0.65,9.9,1.92,231.6,0.00,9.4,0.00,21.1,23,1,0,0,0,0,4,0,0,0,40
2026-09-22T18:01:37.531Z,3.69,30.7,0.26,9.9,8.89,237.8,0.01,9.5,1.11,23.3,23,1,0,0,0,0,4,0,0,0,40
2026-09-22T18:01:52.533Z,5.87,30.0,0.24,9.9,12.96,238.3,0.00,8.7,2.07,26.2,23,1,0,0,0,0,4,0,0,0,40
2026-09-22T18:02:07.537Z,2.60,30.0,0.25,9.9,9.82,239.2,3.19,8.9,1.43,27.8,23,1,0,0,0,0,4,0,0,0,40
2026-09-22T18:02:22.539Z,4.19,30.7,0.13,9.9,3.79,239.2,0.00,8.9,1.99,28.3,23,1,0,0,0,0,4,0,0,0,40
2026-09-22T18:02:37.540Z,2.61,31.0,1.31,9.9,3.62,240.1,0.00,9.0,1.77,28.3,23,1,0,0,0,0,4,0,0,0,40
2026-09-22T18:02:52.542Z,2.26,29.9,0.10,9.9,3.91,240.4,0.00,9.1,1.34,28.6,23,1,0,0,0,0,4,0,0,0,40
2026-09-22T18:03:07.546Z,3.61,29.9,0.35,9.9,6.97,241.0,0.00,9.2,1.29,28.8,23,1,0,0,0,0,4,0,0,0,40
2026-09-22T18:03:22.548Z,3.44,29.9,0.11,9.9,7.05,241.4,0.00,9.3,2.08,28.8,23,1,0,0,0,0,4,0,0,0,40
2026-09-22T18:03:37.550Z,2.93,29.9,0.20,9.9,5.83,244.9,0.00,9.4,1.82,26.6,23,1,0,0,0,0,4,0,0,0,40
