ts,arena-loadtest-api-1_cpu,arena-loadtest-api-1_mem_mib,arena-loadtest-worker-1_cpu,arena-loadtest-worker-1_mem_mib,arena-loadtest-db-1_cpu,arena-loadtest-db-1_mem_mib,arena-loadtest-stripe_stub-1_cpu,arena-loadtest-stripe_stub-1_mem_mib,arena-loadtest-traefik-1_cpu,arena-loadtest-traefik-1_mem_mib,conns,active,waiting_on_lock,longest_tx_s,deadlocks_total,outbox_backlog,jobs_pending,delivery_pending,dead_letters,expired_unreleased,db_mb
2026-09-22T19:42:21.458Z,0.00,49.3,0.07,14.1,21.09,584.5,0.00,14.1,0.04,153.9,63,1,0,0,0,0,4,0,0,65,121
2026-09-22T19:42:38.655Z,0.03,49.3,0.21,14.1,0.30,586.8,0.00,14.1,0.07,153.9,63,1,0,0,0,0,4,0,0,0,122
2026-09-22T19:42:53.660Z,0.00,49.3,0.05,14.1,0.11,586.8,0.00,14.2,16.62,156.0,63,1,0,0,0,0,4,0,0,0,122
2026-09-22T19:43:08.664Z,26.78,64.5,5.50,13.6,79.57,597.8,0.31,14.2,20.42,254.5,63,1,0,0,0,8,14,0,0,0,123
2026-09-22T19:43:23.666Z,31.20,63.3,2.60,13.4,79.98,603.9,0.30,14.1,18.42,255.9,63,2,0,0,0,4,18,7,0,0,124
2026-09-22T19:43:38.668Z,27.78,63.5,5.39,13.4,66.03,612.6,0.29,14.1,17.39,178.0,63,5,0,0,0,6,19,11,0,0,125
2026-09-22T19:43:53.670Z,25.64,63.1,2.81,13.4,68.87,613.0,0.39,13.9,16.71,178.3,63,3,0,0,0,11,16,2,0,0,126
2026-09-22T19:44:08.672Z,26.32,57.2,1.03,13.4,64.86,615.1,0.28,14.7,12.88,193.4,63,2,0,0,0,6,20,11,0,0,127
2026-09-22T19:44:23.685Z,24.64,57.5,4.47,13.5,72.19,616.6,0.29,14.5,11.69,158.5,63,1,0,0,0,8,14,0,0,0,128
2026-09-22T19:44:38.687Z,25.83,56.6,2.83,13.5,68.49,617.9,0.26,14.6,11.48,155.3,63,2,0,0,0,8,18,0,0,0,129
2026-09-22T19:44:53.691Z,21.10,56.6,4.19,13.6,62.96,620.3,0.24,14.4,12.05,155.3,63,2,0,0,0,0,12,0,0,0,130
2026-09-22T19:45:08.704Z,27.88,56.7,3.54,13.6,74.68,622.1,0.32,14.1,12.69,155.3,63,2,0,0,0,7,8,0,0,0,131
2026-09-22T19:45:23.708Z,28.33,56.7,2.54,13.4,68.44,622.9,0.25,15.4,12.10,155.3,63,1,0,0,0,13,6,0,0,0,132
2026-09-22T19:45:38.710Z,25.06,56.4,3.26,13.4,66.66,628.8,0.25,14.3,12.13,155.3,64,1,0,0,0,0,16,0,0,0,133
2026-09-22T19:45:53.713Z,23.12,56.4,1.90,13.6,48.05,629.5,0.01,14.8,11.00,155.3,64,2,0,0,0,2,4,0,0,0,134
2026-09-22T19:46:08.724Z,0.00,56.4,0.20,13.6,0.25,629.3,0.01,14.8,0.06,159.0,64,1,0,0,0,0,4,0,0,0,134
2026-09-22T19:46:23.726Z,0.00,56.4,0.11,13.6,0.25,629.3,5.40,15.3,0.00,159.0,64,1,0,0,0,0,4,0,0,0,134
