ts,arena-loadtest-api-1_cpu,arena-loadtest-api-1_mem_mib,arena-loadtest-worker-1_cpu,arena-loadtest-worker-1_mem_mib,arena-loadtest-db-1_cpu,arena-loadtest-db-1_mem_mib,arena-loadtest-stripe_stub-1_cpu,arena-loadtest-stripe_stub-1_mem_mib,arena-loadtest-traefik-1_cpu,arena-loadtest-traefik-1_mem_mib,conns,active,waiting_on_lock,longest_tx_s,deadlocks_total,outbox_backlog,jobs_pending,delivery_pending,dead_letters,expired_unreleased,db_mb
2026-09-22T19:58:47.156Z,0.00,31.2,0.20,33.9,0.13,125.0,0.00,54.9,0.00,104.7,7,1,0,0,0,0,4,0,0,0,134
2026-09-22T19:59:05.099Z,4.48,31.2,6.27,34.0,3.61,126.9,4.78,54.2,0.00,104.7,7,1,0,0,0,0,4,0,0,0,134
2026-09-22T19:59:20.105Z,0.00,9.6,0.12,34.2,3.41,131.5,4.73,54.5,0.62,105.8,6,1,0,0,0,0,4,0,0,0,135
2026-09-22T19:59:35.109Z,0.00,9.6,6.26,34.3,6.13,131.5,5.26,54.6,0.00,105.8,6,1,0,0,0,0,4,0,0,0,135
2026-09-22T19:59:50.113Z,38.41,41.5,5.70,36.5,96.52,246.2,0.38,59.0,27.08,231.8,24,2,0,0,0,6,10,0,0,0,135
2026-09-22T20:00:05.115Z,39.55,39.3,5.50,37.1,96.57,257.9,0.43,59.0,24.05,213.6,24,2,0,0,0,6,12,0,0,0,136
2026-09-22T20:00:20.116Z,39.03,37.0,4.95,38.0,103.60,280.8,0.34,59.6,28.41,148.5,24,1,0,0,0,0,14,0,0,0,137
2026-09-22T20:00:35.124Z,35.52,37.2,3.37,38.3,87.02,291.0,0.38,59.3,20.89,150.8,24,2,0,0,0,9,12,5,0,0,138
2026-09-22T20:00:50.136Z,39.77,33.4,4.14,38.4,98.22,294.8,0.36,59.6,20.09,155.2,24,1,0,0,0,0,6,0,0,1,139
2026-09-22T20:01:05.138Z,41.82,33.3,7.52,38.6,102.43,296.4,0.39,60.0,18.66,150.1,24,1,0,0,0,5,10,0,0,1,140
2026-09-22T20:01:20.140Z,43.19,33.0,1.75,39.3,111.86,297.7,0.34,60.5,21.79,152.2,24,1,0,0,0,6,12,0,0,3,141
2026-09-22T20:01:35.142Z,41.13,33.4,7.40,39.0,97.77,302.0,0.31,60.3,20.97,152.2,24,1,0,0,0,0,13,0,0,0,142
2026-09-22T20:01:50.146Z,42.80,33.4,6.61,39.0,107.83,303.8,0.41,60.2,19.63,152.7,24,4,0,0,0,6,4,0,0,0,143
2026-09-22T20:02:05.150Z,39.85,32.9,8.24,39.0,91.04,305.0,0.43,59.6,18.70,153.0,24,1,0,0,0,11,6,0,0,0,144
2026-09-22T20:02:20.154Z,39.16,32.5,4.25,39.1,101.09,305.6,1.30,60.1,19.83,153.4,24,1,0,0,0,1,8,0,0,0,144
