ts,arena-loadtest-api-1_cpu,arena-loadtest-api-1_mem_mib,arena-loadtest-worker-1_cpu,arena-loadtest-worker-1_mem_mib,arena-loadtest-db-1_cpu,arena-loadtest-db-1_mem_mib,arena-loadtest-stripe_stub-1_cpu,arena-loadtest-stripe_stub-1_mem_mib,arena-loadtest-traefik-1_cpu,arena-loadtest-traefik-1_mem_mib,conns,active,waiting_on_lock,longest_tx_s,deadlocks_total,outbox_backlog,jobs_pending,delivery_pending,dead_letters,expired_unreleased,db_mb
2026-09-23T02:50:55.436Z,4.80,8.3,0.12,34.5,4.62,149.9,0.00,54.1,0.00,106.1,7,1,0,0,0,0,4,0,0,0,173
2026-09-23T02:51:12.642Z,40.95,33.1,5.77,37.1,106.91,280.7,0.45,59.2,27.22,235.7,24,1,0,0,0,6,8,0,0,0,174
2026-09-23T02:51:27.650Z,34.85,33.1,4.69,38.1,99.52,296.6,0.62,59.2,23.37,203.9,24,1,0,0,0,11,10,0,0,0,175
2026-09-23T02:51:42.654Z,38.00,33.7,4.73,38.3,103.82,304.3,0.62,58.9,23.11,209.7,24,1,0,0,0,0,12,0,0,0,175
2026-09-23T02:51:57.657Z,37.99,33.6,1.09,38.6,104.09,313.3,0.40,59.5,24.98,230.5,24,1,0,0,0,9,14,7,0,0,176
2026-09-23T02:52:12.659Z,38.63,29.1,4.38,39.1,96.22,315.3,2.96,59.9,20.01,235.0,24,4,0,0,0,0,8,0,0,0,177
2026-09-23T02:52:27.660Z,39.72,28.6,5.23,39.2,102.19,316.7,0.37,59.3,19.40,218.8,24,2,0,0,0,6,10,0,0,0,178
2026-09-23T02:52:42.668Z,35.44,28.9,5.24,39.1,96.47,320.4,3.00,60.8,17.34,219.3,24,2,0,0,0,5,12,0,0,0,179
2026-09-23T02:52:57.681Z,36.50,28.3,2.87,39.5,101.99,323.2,3.74,60.2,18.46,219.4,24,2,0,0,0,2,12,3,0,0,180
2026-09-23T02:53:12.684Z,40.81,28.7,3.43,39.2,98.20,324.1,3.31,59.5,19.88,219.3,24,2,0,0,0,5,8,0,0,0,181
2026-09-23T02:53:27.686Z,37.47,29.2,3.97,39.5,136.10,337.9,3.49,59.9,20.24,220.1,25,3,0,0,0,0,12,0,0,0,182
2026-09-23T02:53:42.688Z,43.84,29.6,3.90,39.4,88.79,331.7,5.39,60.3,21.10,220.8,24,2,0,0,0,0,13,0,0,0,183
2026-09-23T02:53:57.690Z,40.44,29.4,4.89,39.4,88.50,333.3,2.01,63.1,20.12,221.0,24,1,0,0,0,4,8,0,0,0,184
2026-09-23T02:54:12.692Z,0.00,29.2,0.42,39.4,0.21,332.9,0.00,59.8,0.00,219.3,24,1,0,0,0,0,4,0,0,0,184
2026-09-23T02:54:27.694Z,0.00,29.2,0.28,39.4,0.15,333.2,0.00,59.8,0.00,219.3,24,1,0,0,0,0,4,0,0,0,184
2026-09-23T02:54:42.697Z,0.00,29.2,0.46,39.4,0.20,335.0,0.00,59.9,0.00,219.3,24,1,0,0,0,0,4,0,0,0,184
2026-09-23T02:54:57.700Z,0.00,29.2,0.30,39.4,0.35,335.0,0.00,59.9,0.00,219.3,24,1,0,0,0,0,4,0,0,0,184
2026-09-23T02:55:12.702Z,0.00,29.2,0.43,39.4,0.25,335.0,0.00,59.9,0.00,219.2,24,1,0,0,0,0,4,0,0,0,184
2026-09-23T02:55:27.705Z,0.15,7.3,0.49,39.4,1.53,183.7,0.00,60.0,0.05,219.2,7,1,0,0,0,0,4,0,0,0,184
2026-09-23T02:55:42.706Z,37.55,42.2,2.56,39.5,82.81,407.1,0.23,59.6,25.69,214.1,64,1,0,0,0,4,4,0,0,0,187
2026-09-23T02:55:57.709Z,35.45,40.4,2.36,39.6,119.09,462.8,0.21,59.6,22.31,223.8,64,5,0,0,0,3,10,0,0,0,188
2026-09-23T02:56:12.713Z,35.62,40.9,2.47,39.3,112.02,478.8,0.27,59.6,24.97,166.5,64,1,0,0,0,0,8,0,0,0,188
2026-09-23T02:56:27.715Z,30.39,40.9,2.40,39.4,133.14,489.2,0.16,60.6,20.37,166.8,64,1,0,0,0,3,8,0,0,0,189
2026-09-23T02:56:42.717Z,34.79,41.1,2.78,39.4,110.19,493.3,0.22,60.4,20.14,157.6,64,4,0,0,0,7,6,0,0,0,190
2026-09-23T02:56:57.721Z,38.84,40.2,3.47,39.4,104.78,510.4,0.19,60.4,15.12,155.5,64,3,0,0,0,4,4,0,0,0,190
2026-09-23T02:57:12.722Z,38.85,40.4,2.29,39.4,102.31,521.0,0.20,60.3,17.95,154.4,64,3,0,0,0,5,12,3,0,0,191
2026-09-23T02:57:27.725Z,37.87,40.4,3.45,39.8,124.77,524.4,0.16,60.3,19.08,154.6,64,2,0,0,0,0,8,0,0,0,191
2026-09-23T02:57:42.728Z,0.16,40.5,0.36,39.6,0.39,525.0,0.00,60.7,0.06,154.4,64,1,0,0,0,0,4,0,0,0,192
2026-09-23T02:57:57.730Z,0.10,40.5,0.46,39.6,0.51,525.0,0.00,60.7,0.14,152.7,64,1,0,0,0,0,4,0,0,0,192
2026-09-23T02:58:12.732Z,0.10,40.5,0.25,39.6,0.30,525.0,0.00,60.8,0.09,152.7,64,1,0,0,0,0,4,0,0,0,192
2026-09-23T02:58:27.735Z,0.16,40.5,0.47,39.6,29.61,530.1,0.00,60.8,0.04,152.7,65,2,0,0,0,0,4,0,0,0,192
2026-09-23T02:58:42.737Z,31.15,58.4,8.83,39.6,94.83,577.4,3.81,60.8,26.93,238.8,64,1,0,0,0,8,12,0,0,0,193
2026-09-23T02:58:57.739Z,36.88,53.5,5.99,39.5,109.39,596.5,0.35,60.7,22.68,239.2,64,2,0,0,0,16,6,0,0,0,194
2026-09-23T02:59:12.741Z,33.62,53.6,5.94,39.6,101.65,599.4,0.34,60.4,21.01,217.2,64,1,0,0,0,0,12,0,0,0,195
2026-09-23T02:59:27.744Z,39.14,53.6,8.16,39.6,129.47,609.6,0.39,61.0,23.79,217.4,65,3,0,0,0,9,4,0,0,0,196
2026-09-23T02:59:42.746Z,39.18,51.4,1.00,39.6,110.80,606.1,0.41,60.8,18.38,211.3,64,4,0,0,0,12,18,11,0,0,197
